PQ,Wat1,Wat2,Wat3,year,month,index
75392.0783175,279.359050095,19.2551943262,28.4541373054,2017,11,282
78907.2328361,279.36122991,19.1003222583,24.461303075,2017,11,283
80647.0244951,279.077032947,19.2886723847,28.5010728127,2017,11,284
76704.6863719,279.175441147,23.6463034978,35.1949538495,2017,11,285
74752.6568656,279.033105887,22.157000596,27.799377851,2017,11,286
77401.6290079,279.562827373,20.5538907733,29.3716768403,2017,11,287
73666.5503229,279.634181929,20.8421187007,30.7443613524,2017,11,288
73889.1960234,279.695032359,19.2831922717,29.1125044115,2017,11,289
73506.3181506,279.778628735,19.0931363814,26.9403885965,2017,11,290
75510.5647608,279.518167915,24.6585380109,28.881298013,2017,11,291
75453.599828,279.410245711,18.9652439552,28.7330557035,2017,11,292
79554.671011,279.375481985,20.012092946,31.5099816768,2017,11,293
79431.0656445,279.48110984,20.2533856166,30.5820537101,2017,11,294
75483.4413001,279.523284176,20.2785462428,24.9773997095,2017,11,295
75967.1136196,279.440251454,19.363034225,28.5568289691,2017,11,296
81099.7437347,279.245298456,23.8570039541,30.4870280137,2017,11,297
72437.3791628,279.090005039,19.9096212333,30.2223615153,2017,11,298
71279.4361493,279.177615046,18.9929858869,30.6917377664,2017,11,299
75014.8855851,279.308065851,20.6737288458,24.8953167756,2017,11,300
75484.2636069,279.392487356,21.3590292198,35.0941694813,2017,11,301
74064.8001184,279.328313964,20.9337646531,30.2661337401,2017,11,302
79378.1999673,279.016838277,22.7843079437,26.5919103241,2017,11,303
78055.2299154,279.016328145,21.1768051633,30.5893616944,2017,11,304
77769.7670469,279.018402335,19.1031353406,30.5167673025,2017,11,305
77322.7250324,279.275159033,19.2595360487,28.88115923,2017,11,306
72932.4751208,279.459680411,19.5976197908,29.89637164,2017,11,307
75865.9725553,279.29016967,20.2969145249,33.352424474,2017,11,308
74873.8100189,279.292551922,23.1758239856,26.5697851519,2017,11,309
69292.643939,279.328641283,22.4369529625,28.4580410474,2017,11,310
71803.2345504,279.318190598,19.2749161236,30.6354779729,2017,11,311
80898.135527,279.286752019,19.2761988084,28.8820423408,2017,11,312
80248.7918364,279.240127085,20.6571781999,30.391436536,2017,11,313
76114.8332309,279.150329272,20.194758065,30.5923090744,2017,11,314
72370.8845048,279.103505217,22.354467398,26.4657646501,2017,11,315
77103.9933838,279.232195819,23.4558202145,33.749827905,2017,11,316
80154.6292208,278.995681804,20.3565937136,29.5935529192,2017,11,317
78580.485537,278.81937315,19.7392713353,28.4620471431,2017,11,318
72573.5365676,278.558253834,19.692788394,28.724068442,2017,11,319
67449.1399259,278.438009723,19.2371853233,24.6166755456,2017,11,320
74102.1896144,278.375377759,20.9228207594,34.4238351003,2017,11,321
78519.3127691,278.844772841,23.0949512177,25.3708598315,2017,11,322
75972.1648882,279.080923209,20.2965762974,32.420877248,2017,11,323
76522.0298545,279.156944435,21.3147713077,29.1825423857,2017,11,324
79082.7418577,279.176552529,21.0304023603,28.3961087178,2017,11,325
79625.7498615,279.152143378,19.4188198167,33.1951262062,2017,11,326
75046.1771036,279.080372859,20.9574733091,26.0448312143,2017,11,327
75705.9411603,279.229221719,22.9276901857,32.8982648622,2017,11,328
71942.9423671,279.268418467,19.4324911722,30.7659769072,2017,11,329
71056.2636386,279.283602638,19.6111921684,32.644795105,2017,11,330
71711.2868202,240.91278911,20.4224357905,28.7190589458,2017,11,331
79849.8119355,113.71200465,20.2947211387,28.385771026,2017,11,332
81197.1082037,113.574751273,20.7756503369,28.7682689656,2017,11,333
78943.0577133,239.163988421,24.327339368,28.3279450031,2017,11,334
73288.1297471,353.770596297,19.9704754054,32.6165840415,2017,11,335
77064.0714957,283.498687549,19.4254175987,29.3617409714,2017,11,336
77966.2548988,137.365644043,19.5768023277,28.1229050656,2017,11,337
74457.9154778,224.016748035,22.0880267374,30.7930716894,2017,11,338
67387.5440734,219.926376037,20.658707196,29.8340647366,2017,11,339
70623.5372093,323.228162196,25.9666607429,27.0702494847,2017,11,340
78291.2908366,192.180922912,19.5318773886,30.4073969196,2017,11,341
81169.5112195,307.994029755,19.4824572781,30.2449759134,2017,11,342
78094.7189558,295.965160795,19.4459658598,29.8737334822,2017,11,343
76121.7583612,332.163433108,19.5537743959,30.4773091162,2017,11,344
77823.8590189,119.90761072,20.406107537,30.4704702406,2017,11,345
77813.6496787,237.809511788,25.8659113723,26.7479854397,2017,11,346
75284.9910874,269.896897983,20.8242413029,26.3546191506,2017,11,347
71380.9090476,113.657389662,19.4221702208,32.2824257893,2017,11,348
70343.2311711,120.709039774,20.3938517081,28.403286507,2017,11,349
72039.8351883,354.184431803,20.4123528987,32.4461867139,2017,11,350
81743.1745605,202.377755755,21.7567861502,30.2451019511,2017,11,351
77510.2254651,290.132708294,25.0102737153,34.6047798071,2017,11,352
79017.467894,161.006380588,20.6743164134,30.4064416069,2017,11,353
77683.5298307,306.24972679,20.304125192,24.7555856724,2017,11,354
81994.3233106,250.941176998,19.6787339803,32.9404510001,2017,11,355
76662.3568979,354.122278505,19.5734034453,33.7012505865,2017,11,356
78502.3628374,208.770447722,25.2173723517,35.5245618098,2017,11,357
77007.3328101,289.929599112,21.3419372323,29.8959797037,2017,11,358
73867.6504094,191.967128825,21.832081188,32.3720247861,2017,11,359
70257.1103234,113.510472931,20.3997336399,31.638350902,2017,11,360
76384.2171316,154.2189712,19.6879596417,29.0540604874,2017,11,361
81140.3331043,337.367908255,23.514793805,31.1256066212,2017,11,362
80792.0623773,127.195276951,21.2563484994,25.1466300124,2017,11,363
84034.0393487,235.807026172,19.5004629452,41.1686791606,2017,11,364
76648.6481064,354.173665682,20.30898647,26.639241161,2017,11,365
76671.0073363,273.310071242,20.3754238817,29.6850747383,2017,11,366
83142.5068193,160.515902616,21.3983447329,29.0129117079,2017,11,367
80441.8915773,170.467019796,25.7281916975,31.4234259683,2017,11,368
79209.7767746,171.505148674,20.0083629409,39.6667462598,2017,11,369
72859.1554019,113.315590341,19.3672413114,27.2442759557,2017,11,370
74827.1112177,244.497219636,20.2941881849,27.6132076048,2017,11,371
72994.8965777,234.807165193,20.4311211787,38.4685502,2017,11,372
81967.6538336,316.04232882,24.423758964,31.4585960372,2017,11,373
80270.3319805,247.371690987,21.1784059565,29.0868929242,2017,11,374
84178.0276108,354.415498611,19.3242468734,29.2462164168,2017,11,375
80186.7469175,346.745230581,19.2854559542,30.8843721433,2017,11,376
